iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent
0,0.935,9.62,0.909,1.134,0.962,0.225,19.813
1,0.968,9.62,0.909,1.134,0.962,0.225,19.813
2,1.134,9.62,0.909,1.134,0.962,0.225,19.813
3,0.961,9.62,0.909,1.134,0.962,0.225,19.813
4,0.916,9.62,0.909,1.134,0.962,0.225,19.813
5,0.986,9.62,0.909,1.134,0.962,0.225,19.813
6,0.928,9.62,0.909,1.134,0.962,0.225,19.813
7,0.909,9.62,0.909,1.134,0.962,0.225,19.813
8,0.944,9.62,0.909,1.134,0.962,0.225,19.813
9,0.938,9.62,0.909,1.134,0.962,0.225,19.813
