iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent
0,0.946,10.001,0.946,1.162,1,0.216,18.592
1,0.966,10.001,0.946,1.162,1,0.216,18.592
2,1.162,10.001,0.946,1.162,1,0.216,18.592
3,1.003,10.001,0.946,1.162,1,0.216,18.592
4,0.995,10.001,0.946,1.162,1,0.216,18.592
5,1.013,10.001,0.946,1.162,1,0.216,18.592
6,1.004,10.001,0.946,1.162,1,0.216,18.592
7,0.958,10.001,0.946,1.162,1,0.216,18.592
8,0.995,10.001,0.946,1.162,1,0.216,18.592
9,0.959,10.001,0.946,1.162,1,0.216,18.592
