iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent,input_vertices
0,0.236,2.221,0.192,0.241,0.222,0.049,20.2,61
1,0.224,2.221,0.192,0.241,0.222,0.049,20.2,61
2,0.229,2.221,0.192,0.241,0.222,0.049,20.2,61
3,0.218,2.221,0.192,0.241,0.222,0.049,20.2,61
4,0.192,2.221,0.192,0.241,0.222,0.049,20.2,61
5,0.237,2.221,0.192,0.241,0.222,0.049,20.2,61
6,0.22,2.221,0.192,0.241,0.222,0.049,20.2,61
7,0.241,2.221,0.192,0.241,0.222,0.049,20.2,61
8,0.205,2.221,0.192,0.241,0.222,0.049,20.2,61
9,0.219,2.221,0.192,0.241,0.222,0.049,20.2,61
