iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent
0,220564.522,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
1,219591.247,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
2,218708.465,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
3,221682.225,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
4,220192.916,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
5,219745.712,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
6,218165.66,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
7,218358.639,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
8,219196.853,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
9,217823.557,2194029.795,217823.557,221682.225,219402.98,3858.668,1.741
