iteration_number,iteration_time,total_time,min_time,max_time,avg_time,spread,spread_percent
0,26.925,270.491,26.306,28.17,27.049,1.863,6.614
1,26.77,270.491,26.306,28.17,27.049,1.863,6.614
2,28.17,270.491,26.306,28.17,27.049,1.863,6.614
3,26.93,270.491,26.306,28.17,27.049,1.863,6.614
4,26.795,270.491,26.306,28.17,27.049,1.863,6.614
5,26.306,270.491,26.306,28.17,27.049,1.863,6.614
6,27.702,270.491,26.306,28.17,27.049,1.863,6.614
7,27.749,270.491,26.306,28.17,27.049,1.863,6.614
8,26.642,270.491,26.306,28.17,27.049,1.863,6.614
9,26.503,270.491,26.306,28.17,27.049,1.863,6.614
